city_name,clouds,humidity,lat,lon,temp,wind_speed
Naze,40,88,24.684160612123335,137.77943987196142,78.8,6.11
Castro,48,75,-54.4693164310336,-101.68954411253506,50.78,6.11
Butaritari,80,100,8.459206819264253,159.99930672841805,82.91,13.04
Geraldton,90,79,-32.60496213294966,90.71410439517837,26.6,13.87
Antofagasta,40,72,-24.15379305051418,-75.63948278458992,68.0,10.29
Leningradskiy,12,99,86.81576053157949,176.1140750802299,-16.82,4.43
Mahebourg,40,78,-44.333183814192274,73.4058639403739,80.6,17.22
Albany,75,69,-89.81323424415051,94.79303502362228,31.62,13.87
Kapaa,90,94,38.36735526647857,-170.90404901017357,72.43,9.17
Vylkove,20,94,45.37115916665974,29.871244604602992,43.22,9.13
Ancud,12,73,-40.19054924916481,-100.27008674321351,49.7,5.21
Hithadhoo,92,100,-20.70174710220678,83.17322987690216,82.64,9.8
Ketchikan,75,66,56.77867159984103,-130.25920587823686,46.35,18.34
Barrow,68,29,74.24005322978078,-158.02703971727868,67.34,14.83
Avarua,75,74,-25.59843053919468,-157.69281440495132,82.4,3.36
Deputatskiy,44,67,66.99999801653257,140.70790487126118,-23.84,3.98
Montemarciano,40,87,43.728466783742505,13.356401429682023,43.88,3.36
Beringovskiy,0,100,51.53907831525808,177.34512603232923,0.47,14.27
Barrow,68,29,88.9602638277479,-162.73014512935737,67.34,14.83
Matamoros,90,49,24.77390585475044,-93.98069574479084,70.5,11.41
Busselton,80,100,-88.5761152263395,79.42808038696683,69.14,10.58
Castro,48,75,-42.896889886988546,-82.47261873440767,50.78,6.11
Leningradskiy,12,99,74.02266887623006,177.46214912693023,-16.82,4.43
Bumba,56,97,1.6575120932041187,22.935187387551167,70.58,2.98
Hanting,92,96,36.83610749745213,119.43243384095848,59.78,5.44
Kayerkan,68,78,70.06237387224192,87.93540243381165,6.68,23.67
Souillac,92,87,-23.184568597818057,58.10106258792695,50.79,12.75
Rikitea,0,100,-28.134883385379787,-137.43724825909828,82.1,8.23
Tuktoyaktuk,90,85,86.07095054985206,-143.401329133861,10.4,18.34
Busselton,80,100,-47.368460411119734,97.5608741564173,69.14,10.58
Rikitea,0,100,-52.04788219983397,-138.8299889294141,82.1,8.23
Tuatapere,48,89,-55.88703843713973,155.77418916326968,61.76,15.61
Montes Altos,56,96,-5.674425447024888,-47.23956273606626,75.08,3.09
